Date	AMZN_PS	AMZN_P	AMZN_Ret3Y	MSFT_PS	MSFT_P	MSFT_Ret3Y	NFLX_PS	NFLX_P	NFLX_Ret3Y	SPY_P	SPY_Ret3Y
1/31/2000	18.00118	68.875	-0.68	20.39989	28.52314377	-0.47				93.14273834	-0.36
2/29/2000	14.49688	67	-0.61	18.62825	33.90864944	-0.54				101.9106293	-0.41
3/31/2000	14.10223	55.1875	-0.48	22.14547	22.26002502	-0.26				98.58140564	-0.34
4/28/2000	10.0586	48.3125	-0.26	13.89661	19.96620369	-0.21				97.03144836	-0.29
5/31/2000	8.80554	36.3125	0.00	12.46461	25.53120041	-0.36				98.70879364	-0.30
6/30/2000	6.6184	30.125	0.38	15.93876	22.27997208	-0.24				97.38760376	-0.28
7/31/2000	4.90314	41.5	0.12	14.45812	22.27997208	-0.24				103.7509766	-0.31
8/31/2000	6.75454	38.4375	0.26	14.45812	19.24813843	-0.08				97.81324005	-0.27
9/29/2000	6.25609	36.625	0.49	12.49068	21.98077393	-0.24				97.60024261	-0.23
10/31/2000	5.28954	24.6875	1.19	14.09759	18.31066704	-0.10				90.31412506	-0.16
11/30/2000	3.56548	15.5625	2.38	11.74373	13.84270573	0.27				89.56738281	-0.11
12/29/2000	2.2476	17.3125	1.91	8.87816	19.48749161	-0.09				93.83638	-0.13
1/31/2001	2.50042	10.1875	3.22	12.2622	18.82926559	-0.09				84.88556671	-0.03
2/28/2001	1.31737	10.22999954	3.23	11.84792	17.45297241	-0.08				79.91368866	0.01
3/30/2001	1.3228	15.77999973	1.76	10.98202	21.62174797	-0.22				86.97505188	-0.08
4/30/2001	1.96043	16.69000053	1.91	13.2005	22.07810974	-0.23				86.48751831	-0.06
5/31/2001	2.07348	14.14999962	2.84	13.47913	23.29722786	-0.21				84.1871109	-0.02
6/29/2001	1.75793	12.48999977	2.12	14.22342	21.12388802	-0.13				83.56572723	-0.04
7/31/2001	1.51896	8.93999958	3.27	12.61449	18.20694542	-0.03				78.60758972	0.02
8/31/2001	1.08723	5.96999979	5.84	10.87259	16.33039093	0.09				71.92095947	0.12
9/28/2001	0.72604	6.980000019	3.89	9.75198	18.55799675	-0.03				73.130867	0.12
10/31/2001	0.87089	11.31999969	2.51	10.94749	20.49198914	-0.16				78.83339691	0.08
11/30/2001	1.41239	10.81999969	3.09	12.08836	21.14303017	-0.09				79.00622559	0.11
12/31/2001	1.35001	14.18999958	2.05	12.47241	20.33241844	-0.07				78.50112915	0.10
1/31/2002	1.6961	14.10000038	1.50	11.51554	18.61863518	-0.03				77.09315491	0.14
2/28/2002	1.68534	14.30000019	1.40	10.54492	19.24734116	-0.09				79.43058777	0.08
3/28/2002	1.70925	16.69000053	0.94	10.901	16.67826271	0.10				75.02555847	0.13
4/30/2002	1.91484	18.22999954	0.95	9.19718	16.24741936	0.15		1.076428533	0.90	74.58036041	0.17
5/31/2002	2.09152	16.25	1.04	8.9596	17.45696068	0.03	1.36056	0.999285698	1.35	68.83483124	0.27
6/28/2002	1.86436	14.44999981	2.12	9.6266	15.3123436	0.21	1.26305	0.953571439	1.78	63.63121796	0.43
7/31/2002	1.61375	14.93999958	1.86	8.15747	15.66339874	0.27	1.20527	0.936428547	2.29	64.06401825	0.41
8/30/2002	1.66743	15.93000031	1.84	8.34449	13.95919037	0.34	1.1836	0.692857146	4.36	57.0908165	0.59
9/30/2002	1.77793	19.36000061	1.06	7.43659	17.06442451	0.09	0.87574	0.640714288	4.89	62.06549835	0.43
10/31/2002	2.03905	23.35000038	1.08	8.57958	18.40799713	0.09	0.80992	0.774999976	4.08	65.89373779	0.41
11/29/2002	2.45929	18.88999939	1.50	9.2551	16.49954796	0.15	0.97957	0.786428571	3.92	61.86211777	0.49
12/31/2002	1.98955	21.85000038	1.05	8.29557	15.1463871	0.35	0.99401	0.942857146	3.17	60.63716125	0.56
1/31/2003	2.15507	22.01000023	0.70	7.42323	15.127244	0.29	1.93896	1.222142816	2.13	59.81984329	0.59
2/28/2003	2.17085	26.03000069	0.40	7.41384	15.50245571	0.28	2.5133	1.453571439	1.85	59.70707321	0.61
3/31/2003	2.56734	28.69000053	0.23	7.57338	16.37330055	0.08	2.98923	1.628571391	1.60	65.0200882	0.51
4/30/2003	2.69491	35.88999939	-0.04	7.86044	15.75858212	0.05	2.94405	1.607142806	1.46	68.58558655	0.39
5/30/2003	3.37122	36.31999969	0.06	7.56829	16.41813087	0.04	2.89885	1.825000048	1.13	69.06664276	0.37
6/30/2003	3.41161	41.63999939	-0.35	7.88505	16.91119003	0.04	3.29914	1.871428609	0.58	70.56571198	0.36
7/31/2003	3.70119	46.31999969	-0.33	7.95313	16.98161697	0.11	3.0654	2.380714178	0.20	72.02119446	0.36
8/29/2003	4.11718	48.43000031	-0.34	7.98626	17.80125046	0.13	3.89961	2.397142887	0.36	70.96330261	0.41
9/30/2003	4.30473	54.43000031	-0.30	8.37172	16.73828888	0.26	3.92652	4.092857361	-0.03	75.0487442	0.38
10/31/2003	4.59176	53.97000122	-0.25	7.78326	16.55531311	0.31	5.87624	3.5	0.20	75.86833191	0.39
11/28/2003	4.55296	52.61999893	-0.25	7.65523	17.62422752	0.25	5.02506	3.906428576	-0.05	79.31077576	0.34
12/31/2003	4.43907	50.40000153	-0.25	8.1495	17.80452347	0.28	5.60858	5.243571281	-0.38	81.26087952	0.34
1/30/2004	3.86212	43.00999832	-0.09	7.83397	17.08332634	0.22	6.85574	4.91428566	-0.35	82.36364746	0.29
2/27/2004	3.29583	43.27999878	-0.08	7.51664	16.05304909	0.29	6.42521	4.874285698	-0.32	80.98876953	0.33
3/31/2004	3.31652	43.59999847	0.41	7.06332	16.82575607	0.32	6.37291	3.622857094	-0.13	79.73492432	0.41
4/30/2004	3.0914	48.5	0.43	7.11679	16.89015007	0.35	4.12442	4.702857018	-0.33	81.10024261	0.44
5/28/2004	3.43882	54.40000153	0.26	7.14402	18.39049721	0.19	5.35393	5.142857075	-0.46	82.30027008	0.39
6/30/2004	3.85715	38.91999817	1.02	7.77862	18.34542274	0.18	5.85485	2.928571463	-0.16	79.93941498	0.39
7/30/2004	2.63911	38.13999939	1.10	7.56024	17.57914925	0.22	2.85632	1.992857099	0.26	80.13415527	0.40
8/31/2004	2.58622	40.86000061	1.28	7.24446	17.85704803	0.23	1.94369	2.202857256	0.35	80.60296631	0.44
9/30/2004	2.77066	34.13000107	1.61	7.33734	18.06370926	0.52	2.14851	1.352857113	1.80	81.98134613	0.45
10/29/2004	2.19837	39.68000031	1.28	7.23305	17.31455803	0.45	1.11678	1.625714302	1.03	85.37789154	0.33
11/30/2004	2.55585	44.29000092	1.09	7.70427	19.23299026	0.39	1.34202	1.761428595	1.16	87.79550171	0.28
12/31/2004	2.85279	43.22000122	0.80	7.6784	18.91627884	0.29	1.45405	1.642857194	1.19	86.23248291	0.23
1/31/2005	2.78387	35.18000031	0.83	7.43183	18.1101017	0.13	1.19792	1.528571486	1.95	88.03507233	0.17
2/28/2005	2.08256	34.27000046	1.08	7.1151	17.45118713	0.22	1.11458	1.549999952	2.19	86.08649445	0.18
3/31/2005	2.02869	32.36000061	1.43	6.83513	18.26706123	0.17	1.13021	1.649999976	1.77	84.80548096	0.26
4/29/2005	1.82372	35.50999832	1.30	7.02357	18.62807846	0.14	1.0924	2.041428566	1.12	87.5382843	0.24
5/31/2005	2.00124	33.09000015	1.22	7.16237	17.99182129	0.15	1.35155	2.344285727	0.59	87.31848907	0.13
6/30/2005	1.86486	45.15000153	0.69	6.89586	18.5495472	0.05	1.55205	2.651428461	0.66	91.02533722	0.08
7/29/2005	2.42893	42.70000076	0.89	6.89361	19.83156395	0.04	1.64124	3.079999924	0.43	90.17205811	0.11
8/31/2005	2.29713	45.29999924	0.61	7.37006	18.69173813	0.08	1.90652	3.712857246	0.19	90.51041412	0.00
9/30/2005	2.437	39.86000061	0.44	6.92591	18.66994858	-0.09	2.29826	3.772857189	-0.06	88.74593353	-0.15
10/31/2005	2.04894	48.45999908	-0.12	6.78156	20.10833359	-0.24	2.2378	3.934285641	-0.17	92.64653015	-0.24
11/30/2005	2.491	47.15000153	0.09	7.30403	19.05253983	-0.22	2.33355	3.865714312	0.10	91.98166656	-0.23
12/30/2005	2.42367	44.81999969	0.31	6.9003	20.50971222	-0.36	2.29287	3.935714245	0.31	94.68981934	-0.31
1/31/2006	2.3039	37.43999863	0.73	7.06762	19.57711983	-0.37	2.19264	3.829999924	0.35	95.23196411	-0.39
2/28/2006	1.83452	36.52999878	1.01	6.74625	19.8920269	-0.29	2.13374	4.141428471	0.48	96.42021179	-0.35
3/31/2006	1.78993	35.20999908	1.29	6.83161	17.65499115	-0.12	2.30724	4.234285831	0.53	98.026474	-0.29
4/28/2006	1.65587	34.61000061	1.25	5.79127	16.55841064	-0.03	2.17067	3.955714226	0.42	95.07382202	-0.23
5/31/2006	1.62765	38.68000031	1.16	5.43156	17.10001755	0.07	2.02787	3.887142897	0.52	94.90234375	-0.23
6/30/2006	1.81905	26.88999939	2.19	5.58743	17.6577816	0.03	1.99271	2.955714226	1.12	95.74869537	-0.18
7/31/2006	1.21765	30.82999992	1.63	5.46705	18.86139107	0.01	1.68775	2.859999895	1.18	97.83817291	-0.16
8/31/2006	1.39606	32.11999893	1.91	5.8397	20.1462574	-0.01	1.63309	3.254285812	1.03	100.0399551	-0.16
9/29/2006	1.45448	38.09000015	2.12	6.21462	21.14803314	0.02	1.85823	3.951428652	0.93	103.6467209	-0.20
10/31/2006	1.61358	40.34000015	2.37	6.21653	21.62683487	0.06	2.06147	4.182857037	1.00	105.7077789	-0.17
11/30/2006	1.7089	39.45999908	2.41	6.35728	22.07034302	0.08	2.1822	3.694285631	1.13	106.5276947	-0.16
12/29/2006	1.67162	37.66999817	2.33	6.46554	22.80945778	-0.04	1.92732	3.258571386	1.73	108.7323761	-0.20
1/31/2007	1.59579	39.13999939	2.03	6.55097	20.82120705	0.08	1.5703	3.218571424	1.93	106.5992966	-0.16
2/28/2007	1.51283	39.79000092	2.41	5.97994	20.67089844	0.11	1.55102	3.312857151	2.18	107.4086456	-0.12
3/30/2007	1.53796	61.33000183	1.24	5.91626	22.20619965	0.08	1.59646	3.167142868	3.46	112.6112747	-0.14
4/30/2007	2.19131	69.13999939	0.81	5.78318	22.76246834	-0.11	1.41434	3.12857151	4.08	116.4311142	-0.24
5/31/2007	2.47036	68.41000366	0.60	5.92807	21.92841339	-0.17	1.39711	2.769999981	4.60	114.2363892	-0.27
6/29/2007	2.44428	78.54000092	0.50	5.6924	21.57124519	-0.06	1.23699	2.461428642	4.95	111.1365814	-0.19
7/31/2007	2.66008	79.91000366	0.56	5.31916	21.37777901	-0.13	1.09919	2.502857208	6.16	112.5627899	-0.24
8/31/2007	2.70648	93.15000153	0.69	5.27146	21.99780083	-0.12	1.03749	2.964285612	6.81	116.3684998	-0.20
9/28/2007	3.15491	89.15000153	0.85	5.4054	27.4860611	-0.23	1.22876	3.781428576	5.56	118.5067749	-0.18
10/31/2007	2.81369	90.55999756	0.94	6.36838	25.08913994	-0.20	1.47279	3.299999952	7.91	113.9166946	-0.15
11/30/2007	2.85819	92.63999939	0.94	5.81303	26.67043877	-0.17	1.28529	3.802857161	5.60	112.039299	-0.08
12/31/2007	2.92384	77.69999695	1.18	6.15904	24.42292023	-0.09	1.48114	3.592857122	7.51	105.8239517	0.00
1/31/2008	2.1787	64.47000122	1.69	5.25278	20.3774128	0.04	1.35444	4.511428356	5.54	103.0891953	0.06
2/29/2008	1.80773	71.30000305	1.53	4.38267	21.34404945	-0.05	1.70072	4.949999809	5.86	101.6640167	0.07
3/31/2008	1.99925	78.62999725	1.49	4.57282	21.4493351	-0.03	1.86606	4.568571568	6.28	107.0368729	0.05
4/30/2008	2.05495	81.62000275	1.41	4.58159	21.29891396	-0.06	1.60526	4.337142944	7.92	108.6548843	0.03
5/30/2008	2.13309	73.33000183	1.79	4.54946	20.76590157	0.01	1.52395	3.724285603	9.08	99.07839966	0.10
6/30/2008	1.91643	76.33999634	1.91	4.41933	19.41471672	0.14	1.30861	4.412857056	7.61	98.67922974	0.09
7/31/2008	1.89814	80.80999756	1.66	3.89546	20.59983444	0.04	1.55055	4.405714512	6.62	100.2042007	0.01
8/29/2008	2.00928	72.76000214	1.97	4.13325	20.22727585	0.00	1.51519	4.411428452	2.67	90.24524689	0.04
9/30/2008	1.80913	57.24000168	2.73	4.04237	16.92300224	0.28	1.51715	3.537142754	2.32	75.77399445	0.38
10/31/2008	1.35406	42.70000076	3.50	3.24789	15.32392597	0.36	1.11962	3.28285718	1.81	70.49964905	0.48
11/28/2008	1.01011	51.27999878	2.38	2.94099	14.8326025	0.43	1.03913	4.269999981	1.32	70.61700439	0.48
12/31/2008	1.21308	58.81999969	2.31	2.82754	13.04719734	0.85	1.35159	5.162857056	2.33	65.34452057	0.69
1/30/2009	1.31352	64.79000092	1.77	2.4524	12.32234955	1.11	1.55884	5.17714262	2.06	58.32330704	0.97
2/27/2009	1.44684	73.44000244	1.76	2.31615	14.11230183	0.88	1.56315	6.131428719	1.68	62.73324966	0.89
3/31/2009	1.64	80.51999664	1.88	2.63453	15.56424427	0.69	1.85129	6.472856998	0.77	69.45917511	0.70
4/30/2009	1.73409	77.98999786	1.73	2.94685	16.0482235	0.50	1.8501	5.631428719	0.61	73.51934052	0.51
5/29/2009	1.6796	83.66000366	1.73	3.03848	18.37668419	0.38	1.6096	5.905714512	0.66	73.05848694	0.57
6/30/2009	1.80171	85.76000214	1.72	3.45738	18.18341446	0.34	1.688	6.277143002	0.29	78.95254517	0.48
7/31/2009	1.80653	81.19000244	2.06	3.58533	19.05701447	0.34	1.67802	6.232857227	0.37	81.86904144	0.46
8/31/2009	1.71026	93.36000061	1.72	3.75759	19.99604416	0.24	1.66618	6.595714092	0.18	84.36999512	0.45
9/30/2009	1.96662	118.8099976	0.96	3.9207	21.55872154	0.10	1.76318	7.635714054	0.48	83.1421051	0.45
10/30/2009	2.37149	135.9100037	0.85	4.39712	22.86484146	-0.03	1.84231	8.375714302	0.39	88.26421356	0.37
11/30/2009	2.71281	134.5200043	0.86	4.66351	23.80145645	-0.06	2.02085	7.869999886	0.68	89.46849823	0.36
12/31/2009	2.68507	125.4100037	1.12	4.83318	22.00541496	0.05	1.89884	8.892857552	1.65	86.68115234	0.48
1/29/2010	2.2719	118.4000015	1.23	4.24783	22.38804626	0.04	1.99168	9.435714722	1.85	89.38513184	0.46
2/26/2010	2.14491	135.7700043	0.96	4.32169	22.97915268	0.06	2.11326	10.53428555	1.57	94.43800354	0.42
3/31/2010	2.45958	137.1000061	0.85	4.41477	23.95982933	0.17	2.3593	14.12857151	1.18	96.29386139	0.43
4/30/2010	2.28577	125.4599991	1.15	4.51771	20.24111366	0.46	2.92044	15.87857151	1.04	88.64289093	0.59
5/31/2010	2.0917	109.2600021	1.54	3.81716	18.13370323	0.63	3.28217	15.52142811	0.94	83.65840149	0.65
6/30/2010	1.82161	117.8899994	1.56	3.40437	20.34032822	0.34	3.20835	14.64999962	1.38	89.7975235	0.63
7/30/2010	1.84242	124.8300018	1.25	3.599	18.49621964	0.54	2.85429	17.93142891	1.26	85.7583847	0.66
8/31/2010	1.95088	157.0599976	0.99	3.27201	19.40302467	0.48	3.49361	23.16571426	0.91	92.94085693	0.57
9/30/2010	2.45458	165.2299957	1.20	3.41494	21.13019371	0.44	4.51342	24.79571342	0.86	97.00798035	0.58
10/29/2010	2.41051	175.3999939	1.24	3.48441	20.01307869	0.64	4.50981	29.41428566	0.78	97.00798035	0.63
11/30/2010	2.55888	180	1.22	3.30049	22.2484951	0.46	5.34983	25.10000038	1.10	102.951767	0.56
12/31/2010	2.62599	169.6399994	1.11	3.6471	22.10500336	0.48	4.56515	30.58285713	0.91	105.9045868	0.47
1/31/2011	2.23674	173.2899933	1.09	3.50515	21.1882782	0.57	5.22493	29.52428627	1.16	109.5834427	0.49
2/28/2011	2.28486	180.1300049	0.87	3.36039	20.35930443	0.76	5.04408	33.96857071	0.48	109.1225662	0.50
3/31/2011	2.37505	195.8099976	0.55	3.20994	20.78429031	0.70	5.80336	33.23857117	0.38	112.7706909	0.47
4/29/2011	2.39653	196.6900024	0.59	3.19136	20.05458832	0.78	5.11814	38.68571472	0.54	111.5059967	0.52
5/31/2011	2.4073	204.4900055	0.59	3.07932	20.98509407	0.75	5.95691	37.52714157	0.68	109.0841141	0.58
6/30/2011	2.50276	222.5200043	0.41	3.20121	22.1150589	0.72	5.77851	37.9985733	0.59	107.4319458	0.59
7/29/2011	2.50817	215.2299957	0.58	3.28781	21.46936607	0.86	5.26074	33.5728569	1.03	101.5257874	0.75
8/31/2011	2.426	216.2299957	0.49	3.19182	20.21598625	1.03	4.64802	16.18142891	2.98	93.99151611	0.85
9/30/2011	2.43727	213.5099945	0.43	2.98663	21.62923813	0.92	2.24025	11.72571468	3.79	104.7897873	0.71
10/31/2011	2.22845	192.2899933	0.76	3.14929	20.77641296	1.04	1.47338	9.218571663	4.37	104.3639374	0.76
11/30/2011	2.00697	173.1000061	0.79	3.02511	21.24382591	0.95	1.15835	9.898571014	3.93	104.7897873	0.74
12/30/2011	1.80668	194.4400024	0.82	3.07005	24.16526031	0.49	1.2438	17.17142868	2.68	110.34478	0.61
1/31/2012	1.84018	179.6900024	1.12	3.43197	25.97377205	0.50	2.07794	15.81857109	3.29	115.1343384	0.63
2/29/2012	1.70058	202.5099945	0.84	3.68881	26.57309914	0.37	1.91423	16.43428612	2.62	118.3189697	0.56
3/30/2012	1.91655	231.8999939	0.82	3.74867	26.37540627	0.65	1.98874	11.44857121	5.94	118.0441742	0.58
